Disease	Drug
Constipation 	mineral oil
Systemic lupus erythematosus 	jnj-55920839
Nausea 	aprepitant
Ovarian cancer 	mithramycin
Lung cancer 	mithramycin
Hypertension 	clp-1004
Peripheral vascular disease 	ad2/hif-1alpha/vp16
Atopic dermatitis 	dps-201
Lung cancer 	nephesh-1000
Bacterial infection 	bmy-43748
Inflammatory pain 	pmid25666693-compound-66
Cancer related pain 	pmid25666693-compound-66
Neuropathic pain 	pmid25666693-compound-66
Osteoarthritis pain 	pmid25666693-compound-66
Breast cancer 	talazoparib
Crohn disease 	biaryl mannoside derivative 2
Ulcerative colitis 	biaryl mannoside derivative 2
Urinary tract infection 	biaryl mannoside derivative 2
Bordetella pertussis infection 	actacel
Enterobacteriaceae infection 	an-5973
Rabies 	pav-612
Albinism 	polyhydroxy benzamide derivative 5
Ephelides 	polyhydroxy benzamide derivative 5
Senile lentigines 	polyhydroxy benzamide derivative 5
Melasma 	polyhydroxy benzamide derivative 5
Menkes disease 	polyhydroxy benzamide derivative 5
Excessive daytime sleepiness 	adx n05
Mood disorder 	adx n05
Fungal infection 	mk-3118
Obesity 	pyrrole derivative 2
Solid tumour/cancer 	gdc-0077
Breast cancer 	gdc-0077
X-linked hypophosphataemia 	edi200
Alcohol dependence 	arbaclofen placarbil
Fragile X syndrome 	arbaclofen placarbil
Obesity 	pyrazole derivative 1
Solid tumour/cancer 	bn-82002
Asthma 	bay-x-7195
Vascular systems peripheral arterial disorder 	multigeneangio cell therapy
Arteriosclerosis 	cs-8080
Solid tumour/cancer 	serms
Vascular restinosis 	taberminogene vadenovec
Mycobacterium infection 	tuberculin
Cardiovascular disease 	aspirin
Myocardial infarction 	aspirin
Pain 	aspirin
Metastatic cancer 	thiazole carboxamide derivative 19
Solid tumour/cancer 	thiazole carboxamide derivative 19
Colorectal cancer 	l19-tnf-alpha
Osteoarthritis pain 	pmid25666693-compound-4
Neuropathic pain 	pmid25666693-compound-4
Cancer related pain 	pmid25666693-compound-4
Inflammatory pain 	pmid25666693-compound-4
Solid tumour/cancer 	cx-1001
Multiple myeloma 	ag490
Renal transplantation 	ag490
Solid tumour/cancer 	ver-155008
Bacterial infection 	sulbactam sodium
Cutaneous T-cell lymphoma 	nm-il-12
Hepatitis 	pmid30107136-compound-example54
Human immunodeficiency virus infection 	pmid30107136-compound-example54
Infectious disease 	pmid30107136-compound-example54
Solid tumour/cancer 	pmid30107136-compound-example54
Major depressive disorder 	edp-18
Acute lymphoblastic leukaemia 	ponatinib
Cardiovascular disease 	ncx-6560
Diabetic complication 	hl-001
Lymphoma 	fav-201
Prostate cancer 	tranylcypromine
Major depressive disorder 	tranylcypromine
Rheumatoid arthritis 	wy-28342
Solid tumour/cancer 	macbecin
Amyotrophic lateral sclerosis 	riluzole
B-cell lymphoma 	gs-4059
Rheumatoid arthritis 	gs-4059
Hypertension 	pd-155080
Neuroblastoma 	ic9.gd2.car.il-15 t-cells
Hepatitis 	1,3,4-oxadiazole derivative 5
Human immunodeficiency virus infection 	1,3,4-oxadiazole derivative 5
Infectious disease 	1,3,4-oxadiazole derivative 5
Solid tumour/cancer 	1,3,4-oxadiazole derivative 5
Hypercholesterolaemia 	simvastatin
Irritable bowel syndrome 	atb-284
Solid tumour/cancer 	neocarzinostatin
Anemia 	hemoglobin glutamer
Chronic obstructive pulmonary disease 	darotropium + 642444
Ephelides 	resorcinol compound 12
Melasma 	resorcinol compound 12
Menkes disease 	resorcinol compound 12
Albinism 	resorcinol compound 12
Senile lentigines 	resorcinol compound 12
Solid tumour/cancer 	bc-822
Pompe disease 	neo-gaa
Genetic disease 	sbc-104
Imaging 	gadofosveset
Plaque psoriasis 	impoyz
Heart failure 	ggf-2
Malaria 	ad35.cs.01
Chronic obstructive pulmonary disease 	medi7814
Bacterial infection 	methacycline
Alzheimer disease 	aqw-051
Crohn disease 	biaryl mannoside derivative 19
Urinary tract infection 	biaryl mannoside derivative 19
Ulcerative colitis 	biaryl mannoside derivative 19
Soft tissue sarcoma 	th-302
Melanoma 	th-302
Prostate cancer 	th-302
Squamous cell carcinoma 	th-302
Amyotrophic lateral sclerosis 	al-02
Bacterial infection 	sulfamerazine
Prostate cancer 	mirna mimetics
Obesity 	pyrazole derivative 5
Epilepsy 	nsg-0501
Inflammation 	piperazine urea derivative 3
Solid tumour/cancer 	piperazine urea derivative 3
Hypophosphatasia 	lanthanum carbonate
Coeliac disease 	inn-202
Fungal infection 	rlp-068
Breast cancer 	pins
Type-1 diabetes 	tesaglitazar
Anemia 	aft-epo
Ebola virus infection 	mva-bn
Acute or chronic pain 	camphor
Inflammation 	ek-399
Coronary artery disease 	isis-crprx
Plaque psoriasis 	abt-874
Rheumatoid arthritis 	abt-874
Anemia 	pancyte
Human immunodeficiency virus-1 infection 	mk-8591
Type-1 diabetes 	latin t1d
Gastric motility disorder 	rq-00000010
Solid tumour/cancer 	ly3023414
Prostate cancer 	ly3023414
Immune System disease 	pegademase bovine
Solid tumour/cancer 	fc-ifn alpha 2b
leukaemia 	be-22179
Benign prostatic hyperplasia 	xatral
Alzheimer disease 	lympro
Solid tumour/cancer 	xr-3054
Generalized anxiety disorder 	edg-004
Pancreatic cancer 	anti-muc1 mab
Colorectal cancer 	sdz-scv-106
Coronary artery disease 	probucol
Alopecia 	pth(7-34) liposomal cream
Human immunodeficiency virus-1 infection 	hiv-1 vaccine
Obesity 	pyrrole derivative 3
Urticaria 	gsk2646264
Cutaneous lupus erythematosus 	gsk2646264
Autism spectrum disorder 	p32/98
Coeliac disease 	bl-7010
Solid tumour/cancer 	gemcitabine prodrug
Major depressive disorder 	buprenorphine + naloxone
Opioid dependence 	buprenorphine + naloxone
Heart disease 	tin-117m-labeled annexin
leukaemia 	ln-040
Schizophrenia 	pmid29338548-compound-13
Lymphoma 	anti-cd30 car-t cells
leukaemia 	anti-cd30 car-t cells
Huntington disease 	gene therapy, huntington's disease, medtronic
Motor neurone disease 	tdi-0105
Endometriosis 	pf-02367982
Influenza virus infection 	influenza h3n2 vaccine
Asthma 	colforsin daropate hci
Pain 	brifentanil
Type-2 diabetes 	ym-543
Shigella infection 	wrss2
Malnutrition 	tetrahydrofolic acid
Solid tumour/cancer 	fludeoxyglucose f 18
Cerebral vasospasm 	clazosentan
Anaesthesia 	oxybuprocaine
Cardiac arrest 	pseudoephedrine, nor
African trypanosomiasis 	suramin
Cardiovascular disease 	sc-108
Hepatitis B virus infection 	entecavir+lamivudine+adefovir
Alzheimer disease 	grl-11097
Glaucoma/ocular hypertension 	unoprostone isopropyl ester
Solid tumour/cancer 	jx-929
Pharyngitis 	zp-005
Hypertension 	xipamide
Cervical cancer 	incobotulinum toxin a
Multidrug resistant infection 	ro-48-8724
Pain 	bb-101
Cerebrovascular ischaemia 	tgf alpha
Pulmonary hypertension 	autologous cell based gene therapy
Bipolar disorder 	aripiprazole
Schizophrenia 	aripiprazole
Major depressive disorder 	aripiprazole
Metabolic disorder 	ap-1030
Female sexual arousal dysfunction 	pfizer 10
Seasonal allergic rhinitis 	ragweed allergy immunotherapy vaccine
Autoimmune diabetes 	cgi-1316
Solid tumour/cancer 	2-deoxyglucose
Localisation 	felypressin
Solid tumour/cancer 	antiparasitics
Acute myeloid leukaemia 	ags62p1
Back pain 	chondrocyte tissue grafts
Solid tumour/cancer 	bim-46187
Radioactive tracer 	technetium tc-99m polyphosphate kit
Type-1 diabetes 	insulin + pramlintide
Cardiovascular disease 	akcea-angptl3-lrx
Bacterial infection 	imipenem
Thrombosis 	rgd-039
Solid tumour/cancer 	m3814
Solid tumour/cancer 	biib 028
Hepatitis C virus infection 	ribavirin
Hyperlipidaemia 	omega-3-acid ethyl esters 90
Cardiac arrhythmias 	tulopafant
Solid tumour/cancer 	ep-128504
Pruritus 	six-membered heterocyclic benzamide derivative 2
Solid tumour/cancer 	six-membered heterocyclic benzamide derivative 2
Thymic cancer 	six-membered heterocyclic benzamide derivative 2
Chronic pain 	six-membered heterocyclic benzamide derivative 2
Neuropathic pain 	six-membered heterocyclic benzamide derivative 2
Cytomegalovirus infection 	cytogam
Atrial fibrillation 	ns-11757
Anemia 	hemoglobin raffimer
Crohn disease 	c-linked disaccharide biphenyl mannoside derivative 1
Urinary tract infection 	c-linked disaccharide biphenyl mannoside derivative 1
Ulcerative colitis 	c-linked disaccharide biphenyl mannoside derivative 1
Arteriosclerosis 	bms-852927
Inflammation 	kd-7332
Tuberculosis 	tuberculosis recombinant subunit vaccine
Obesity 	cb1 antagonist, bayer
Periodontal disease 	msi-469
Solid tumour/cancer 	cep-5214
Anaesthesia 	desflurane
Non-small-cell lung cancer 	131i-radretumab
Dravet syndrome 	epx-200
Cachexia 	ph-284
Solid tumour/cancer 	sl-052
Neuropathic pain 	gpi-16072
Erectile dysfunction 	yohimbine
Cocaine addiction 	rti-113
Solid tumour/cancer 	ec-0565
Influenza virus infection 	h6n1 influenza vaccine
Ephelides 	thiazoline derivative 1
Melasma 	thiazoline derivative 1
Albinism 	thiazoline derivative 1
Menkes disease 	thiazoline derivative 1
Senile lentigines 	thiazoline derivative 1
Influenza A virus infection 	ic31
Gram-positive bacterial infection 	nb3322
Norovirus infection 	vxa-g1.1-nn
Solid tumour/cancer 	ndc-1022
Skin inflammation 	benzothiazine-carboxamide compound 6
Cognitive impairment 	gsk189254a
Thyroid cancer 	thyrotropin alfa
Cancer related pain 	pmid25666693-compound-80
Inflammatory pain 	pmid25666693-compound-80
Osteoarthritis pain 	pmid25666693-compound-80
Neuropathic pain 	pmid25666693-compound-80
Lung squamous cell carcinoma 	car-gpc3 t cells
Major depressive disorder 	pioglitazone companion diagnostic
Alzheimer disease 	amg520
Influenza virus infection 	afluria quadrivalent
Contraception 	tosagestin
Inflammation 	gi-129471
Carcinoma 	zk-119010
Allergy 	viaskin milk
Peptic ulcer 	oxyphencyclimine
Prostate cancer 	mln-591rl
Systemic lupus erythematosus 	rontalizumab
Respiratory disease 	pur-118
Insulin-dependent diabetes 	glucostem
Solid tumour/cancer 	aurora a kinase inhibitors (cancer), genentech
Hypercholesterolaemia 	aln-pcs
Solid tumour/cancer 	hs-1183
Central nervous system disease 	pcap-1
Heart failure 	etamicastat
Breast cancer 	etirinotecan pegol
Ovarian cancer 	etirinotecan pegol
Human immunodeficiency virus infection 	vrc-hivdna016-00-vp
Cardiovascular disease 	ar-9273
Premature ejaculation 	dapoxetine
Liver cirrhosis 	stnm-04
Hypertension 	bopindolol
Breast cancer 	ct84.66
Motion sickness 	phn-021
Multiple sclerosis 	ifn-beta-ctp
Allergy 	birch pollen allergy desensitization tablet
Obesity 	rm-493
Diabetic complication 	rm-493
Allergy 	hal-mpe1
Asthma 	cp-0597
Inflammation 	rq-00000008
Ulcerative colitis 	s-0509
Acute lymphoblastic leukaemia 	asparaginase erwinia chrysanthemi
Basal cell carcinoma 	c31510
Squamous cell carcinoma 	c31510
Solid tumour/cancer 	thiazole carboxamide derivative 4
Metastatic cancer 	thiazole carboxamide derivative 4
Cardiovascular disease 	pmid23981898c11d 
Hepatitis 	1,3,4-oxadiazole derivative 4
Human immunodeficiency virus infection 	1,3,4-oxadiazole derivative 4
Infectious disease 	1,3,4-oxadiazole derivative 4
Solid tumour/cancer 	1,3,4-oxadiazole derivative 4
Solid tumour/cancer 	sym-005
Leukopenia 	apl-001
Acute myeloid leukaemia 	rydaptmidostaurin
Cancer related pain 	pmid25666693-compound-72
Inflammatory pain 	pmid25666693-compound-72
Neuropathic pain 	pmid25666693-compound-72
Osteoarthritis pain 	pmid25666693-compound-72
Human immunodeficiency virus infection 	mva-bn hiv multiantigen
Multiple myeloma 	natural killer cell therapy
Solid tumour/cancer 	ve-822
Solid tumour/cancer 	ep-400
Solid tumour/cancer 	nms-e628
Solid tumour/cancer 	lp-20104
Mycobacterium infection 	gsk-2231260a
Schizophrenia 	fkf02sc
Migraine 	eptinezumab
Parkinson disease 	apomorphine
Plaque psoriasis 	mt203
Vitiligo 	monobenzone
Solid tumour/cancer 	hoo-ifos
Melanoma 	icon-1
Allergy 	kf-15766
Solid tumour/cancer 	ncl-00016149
Diabetic nephropathy 	sm-101
Idiopathic thrombocytopenic purpura 	sm-101
Systemic lupus erythematosus 	sm-101
Autoimmune diabetes 	rev-576
Hypertension 	mk-3614
Glioma 	pritumumab
Solid tumour/cancer 	medi1873
Dermatological disease 	mk-51
Heart arrhythmia 	pilsicainide
Fungal infection 	aminocandin
Acute myeloid leukaemia 	h3b-8800
Chronic myelogenous leukaemia 	h3b-8800
Myelodysplastic syndrome 	h3b-8800
Solid tumour/cancer 	imx-110
Stomach ulcer 	yf-476
Neuropathic pain 	ns 1209
Epilepsy 	ns 1209
Autoimmune diabetes 	gl-2045
Atrial fibrillation 	rs-100302
Schizophrenia 	quetiapine
Alzheimer disease 	abbv-8e12
Progressive supranuclear palsy 	abbv-8e12
Bladder cancer 	lx-tb-psts1
Autoimmune diabetes 	nextomabs
Bacterial infection 	dual attack synbiotics
Melanoma 	pds-0102
Multiple sclerosis 	mct-175
Vitiligo 	piperine
Hepatitis C virus infection 	bms 791325
leukaemia 	pv-327
Solid tumour/cancer 	heteroaryl-carboxamide derivative 1
Metastatic cancer 	heteroaryl-carboxamide derivative 1
Solid tumour/cancer 	18f labeled ethanolamine derivatives (cancer imaging), bayer schering
Hypertension 	ck-2018509
Chronic heart failure 	mesenchymal stem cell therapy
Ischemic stroke 	mesenchymal stem cell therapy
Crohn disease 	mannoside derivative 11
Ulcerative colitis 	mannoside derivative 11
Urinary tract infection 	mannoside derivative 11
Osteoporosis 	wnt stimulator , osteoporosis
Prostate cancer 	asp-9521
Renal cell carcinoma 	osi-027
Influenza virus infection 	aviflu
Solid tumour/cancer 	vm-206
Autoimmune diabetes 	pma-101r
Melanoma 	tumor infiltrating lymphocyte
Hypertension 	indapamide
Multiple sclerosis 	firategrast
Chronic obstructive pulmonary disease 	ps-938285
Immune System disease 	vt-214
Growth hormone deficiency 	hgh-ctp
Inflammatory bowel disease 	cat-1902
Osteoporosis 	mk-5442
Emphysema 	palovarotene
Fibrodysplasia ossificans progressiva 	palovarotene
Pancreatic cancer 	morab-066
Solid tumour/cancer 	morab-066
Obesity 	mazindol
Acute myeloid leukaemia 	autologous anti-cd 123 car tcr/4-1bb-expressing t-lymphocytes
Solid tumour/cancer 	uai-201
Familial hypercholesterolemia 	bms-201038
Hypoglycemia 	glucagon recombinant
Virus infection 	rsv/piv-3 vaccine
Glaucoma/ocular hypertension 	sr-43845
Chronic obstructive pulmonary disease 	lancovutide inhaled
Influenza virus infection 	m2 proton channel inhibitors
Human papillomavirus infection 	pds-0101
Hepatitis B virus infection 	heplisav-b
Chronic lymphocytic leukaemia 	azd6738
Solid tumour/cancer 	azd6738
Hepatitis 	1,3,4-oxadiazole and thiadiazole compound 2
Human immunodeficiency virus infection 	1,3,4-oxadiazole and thiadiazole compound 2
Solid tumour/cancer 	1,3,4-oxadiazole and thiadiazole compound 2
Infectious disease 	1,3,4-oxadiazole and thiadiazole compound 2
Solid tumour/cancer 	prn1371
Solid tumour/cancer 	31.1chi
Advanced malignancy 	tak-701
Heart failure 	cor-1
Solid tumour/cancer 	mp-pn-2
Malaria 	pfama-1
Gastric adenocarcinoma 	rg3638
Non-small-cell lung cancer 	rg3638
Metabolic syndrome x 	s-474474
Mantle cell lymphoma 	az-tak1
Non-insulin dependent diabetes 	fm-tp4000
Bacterial infection 	dz-2640
Thrombosis 	nu-172
Malaria 	pmid30280939-compound-wo2013148426
Acquired immune deficiency syndrome 	a-76202m
leukaemia 	daporinad
Sickle-cell anaemia 	mp-4-co
Irritable bowel syndrome 	lx-1031
Type-2 diabetes 	paz-320
Hypercholesterolaemia 	sc-435
Arthritis 	fluasterone
Wound healing 	dexpanthenol
Metastatic cancer 	thiazole carboxamide derivative 31
Solid tumour/cancer 	thiazole carboxamide derivative 31
Solid tumour/cancer 	bbt-012
Diphtheria 	td-pur
Colorectal cancer 	jx-594
Hepatocellular carcinoma 	jx-594
Liver cancer 	jx-594
Solid tumour/cancer 	abd-035
Neurological disorder 	cn-2097
Herpes simplex virus infection 	pn-200
Hepatitis 	pmid30107136-compound-example41
Human immunodeficiency virus infection 	pmid30107136-compound-example41
Infectious disease 	pmid30107136-compound-example41
Solid tumour/cancer 	pmid30107136-compound-example41
Breast cancer 	sb3
Obesity 	tetra-hydro-1h-1,2,6-triazaazulene derivative 1
Acne vulgaris 	ppa-904
Obesity 	pyrrole derivative 6
Chronic lymphocytic leukaemia 	isf35
Mantle cell lymphoma 	isf35
Small lymphocytic lymphoma 	isf35
Hypertension 	acebutolol
LambertEaton myasthenic syndrome 	amifampridine
Crohn disease 	biphenyl mannoside derivative 18
Ulcerative colitis 	biphenyl mannoside derivative 18
Urinary tract infection 	biphenyl mannoside derivative 18
Solid tumour/cancer 	oric-101
Cancer related pain 	pmid25666693-compound-11
Neuropathic pain 	pmid25666693-compound-11
Osteoarthritis pain 	pmid25666693-compound-11
Inflammatory pain 	pmid25666693-compound-11
Hepatitis 	1,2,4-oxadiazole derivative 5
Human immunodeficiency virus infection 	1,2,4-oxadiazole derivative 5
Infectious disease 	1,2,4-oxadiazole derivative 5
Solid tumour/cancer 	1,2,4-oxadiazole derivative 5
Dermatitis 	apn-201
Cough 	levopropoxyphene napsylate anhydrous
Pruritus 	bicyclic heteroaryl benzamide derivative 1
Solid tumour/cancer 	bicyclic heteroaryl benzamide derivative 1
Chronic pain 	bicyclic heteroaryl benzamide derivative 1
Neuropathic pain 	bicyclic heteroaryl benzamide derivative 1
Thymic cancer 	bicyclic heteroaryl benzamide derivative 1
Non-small-cell lung cancer 	pbf-1129
Hepatitis 	peptide analog 3
Human immunodeficiency virus infection 	peptide analog 3
Infectious disease 	peptide analog 3
Solid tumour/cancer 	peptide analog 3
Rheumatoid arthritis 	apratastat
Pulmonary hypertension 	ventaprost
Solid tumour/cancer 	abt-767
Lung cancer 	s-488410
Solid tumour/cancer 	cv-9103
Ephelides 	thiazolidine derivative 1
Melasma 	thiazolidine derivative 1
Menkes disease 	thiazolidine derivative 1
Albinism 	thiazolidine derivative 1
Senile lentigines 	thiazolidine derivative 1
Fibrosis 	nce-401
Solid tumour/cancer 	hsv-1716
Drug abuse 	gsk618334
Nasopharyngeal carcinoma 	gsk618334
Acute heart failure 	sar440181
Osteosarcoma 	naxitamab
Neuroblastoma 	naxitamab
Metastatic cancer 	heterocyclic derivative 13
Solid tumour/cancer 	heterocyclic derivative 13
Hidradenitis suppurativa 	incb54707
Asthma 	bw b70c
Migraine 	bgc-20-1531
Crohn disease 	chronsvax
Hypertension 	da-727
Obesity 	pmid26161824-compound-96
Brain ischaemia 	lau-0901
Epilepsy 	belnacasan
Allergic rhinitis 	am-156
Erythema 	asf-1057
Melanoma 	ot-101
Merkel cell carcinoma 	ot-101
Pancreatic cancer 	ot-101
Recurrent glioblastoma 	ot-101
Alzheimer disease 	dbt-1339
Amyloid cardiomyopathy 	isis-pkk
Breast cancer 	trastuzumab duocarmazine
Cardiovascular disease 	fp-0230
Acute lymphoblastic leukaemia 	kymriah
Type-2 diabetes 	bti-320
Breast cancer 	breast cancer vaccine
Leishmania infection 	nd-amb
Complex regional pain syndrome 	t-121
Metabolic disorder 	suvn-g1031
Hepatitis C virus infection 	rg-7348
Influenza virus infection 	skyflu
Cardiovascular disease 	cor-001
Non-small-cell lung cancer 	alacizumab pegol
Melasma 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 12
Menkes disease 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 12
Albinism 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 12
Ephelides 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 12
Senile lentigines 	beta-phenyl-alpha,beta-unsaturated carbonyl derivative 12
Non-hodgkin lymphoma 	cd19 car gene transduced t lymphocytes
Anxiety disorder 	azd7325
Ocular disease 	av-2
Lung cancer 	coxsackievirus
Bladder cancer 	coxsackievirus
Melanoma 	coxsackievirus
Prostate cancer 	coxsackievirus
Herpes simplex virus infection 	bild-1263
Solid tumour/cancer 	thiazole carboxamide derivative 2
Metastatic cancer 	thiazole carboxamide derivative 2
Syndromic genetic deafness 	sar339375
Angina pectoris 	skf-96365
Parkinson disease 	benztropine
Metastatic cancer 	pmid25684022-compound-us20140017701
Solid tumour/cancer 	pmid25684022-compound-us20140017701
Solid tumour/cancer 	cip-137401
Haemophilus influenza 	nthi vaccine
Ovarian cancer 	amonafide
Prostate cancer 	amonafide
Breast cancer 	amonafide
Neuroinflammation 	quinoline-3-carboxamide derivative 1
Keratoconus 	riboflavin ophthalmic solution
Keratoconus 	ultraviolet-a (uva) irradiation
Corneal deformity 	riboflavin ophthalmic solution
Corneal deformity 	ultraviolet-a (uva) irradiation
Breast cancer 	pf-05280014
Type 1 gaucher disease 	miglustat
Cancer related pain 	pmid25666693-compound-20
Inflammatory pain 	pmid25666693-compound-20
Neuropathic pain 	pmid25666693-compound-20
Osteoarthritis pain 	pmid25666693-compound-20
Bacterial infection 	rx-04
Diabetic complication 	gpr119 agonists
Solid tumour/cancer 	bch-2051
Breast cancer 	brivanib
Liver cancer 	brivanib
Multiple myeloma 	amg 420
Cerebrovascular ischaemia 	ctce-0501
Rheumatoid arthritis 	cnt0-1959
Central nervous system disease 	som-0009
Multiple myeloma 	cc-92480
Ewing sarcoma 	tk216
Sepsis 	temocillin disodium
Colorectal cancer 	panitumumab
Head and neck cancer 	panitumumab
Acute lymphoblastic leukaemia 	adct-402
B-cell non-hodgkin lymphoma 	adct-402
Burkitt cell leukaemia 	adct-402
Osteoporosis 	ap-23588
Acute myeloid leukaemia 	lintuzumab ac-225
Melanoma 	melacine
Cholangiocarcinoma 	pan-622-toxin conjugate
Pain 	inp-06
Thrombosis 	da-697b
Acute myeloid leukaemia 	sy-1425
Myelodysplastic syndrome 	sy-1425
Neuroendocrine cancer 	98mtc-cim-ant
Solid tumour/cancer 	bos172722
Gastritis 	kdm-1001
Factor VII deficiency 	recombinant factor viia pegylated liposomal
Sleep-wake disorder 	m100907
Lymphoma 	avidinox
Solid tumour/cancer 	avidinox
HCV-1 and HCV-4 infection 	elbasvir + grazoprevir
Solid tumour/cancer 	recombinant interleukin-2
Alpha-1 antitrypsin deficiency 	alpha 1-pi
Diabetic complication 	glisolamide
Asthma 	theobromine
Hypertension 	captopril
Diabetic complication 	isis-gcgrrx
Ovarian cancer 	jcar020
Human immunodeficiency virus infection 	1,3,4-thiadiazole derivative 1
Infectious disease 	1,3,4-thiadiazole derivative 1
Hepatitis 	1,3,4-thiadiazole derivative 1
Solid tumour/cancer 	1,3,4-thiadiazole derivative 1
Parkinson disease 	isc-hpnsc
Multiple myeloma 	cart-19 cells
Acute lymphocytic leukaemia 	cart-19 cells
Myocardial fibrosis 	sl125
Congestive heart failure 	sl125
Hyperaldosteronism 	sl125
Solid tumour/cancer 	nkp-2235
Acne vulgaris 	nadifloxacin
Type-2 diabetes 	bvt-142
Congestive heart failure 	amiloride
Influenza virus infection 	clvax 1.0
Diabetic complication 	ky-021
Solid tumour/cancer 	medi-542
Type-2 diabetes 	azm-134
Acute lymphoblastic leukaemia 	tas-109
Acute myeloid leukaemia 	tas-109
Solid tumour/cancer 	tas-109
Hepatovirus infection 	lexipafant
Nerve injury 	lexipafant
Acute lymphoblastic leukaemia 	ctl019
Diffuse large B-cell lymphoma 	ctl019
Hypoalbuminemia 	albumin human
Obesity 	pyrazole derivative 3
Rheumatoid arthritis 	imo-8400
Diffuse large B-cell lymphoma 	imo-8400
Waldenstrom macroglobulinemia 	imo-8400
Solid tumour/cancer 	p2b-003
Alzheimer disease 	ttp-4000
Lymphoma 	anti-cd45 mabs
Sexually transmitted infection 	glyminox
Alzheimer disease 	etn-001
Inflammation 	cgs-32359
Amyotrophic lateral sclerosis 	biib067
Radioactive tracer 	technetium tc-99m mertiatide kit
Gastric adenocarcinoma 	edotecarin
Xerophthalmia 	de-110
Atrial fibrillation 	dti-0009 (oral)
Human immunodeficiency virus infection 	raltegravir
Human immunodeficiency virus infection 	lexgenleucel-t
Pneumococcal infection 	gsk2830930a
Influenza virus infection 	mer-4101
Neurological disorder 	cm-182
Osteoporosis 	es-1
Wound healing 	act-2
Hypertension 	aldosterone
Ovarian cancer 	avastinbevacizumab
Bladder cancer 	adenovirus gene therapy
Alzheimer disease 	e-2212
Solid tumour/cancer 	spl-2101
Multiple myeloma 	lcar-b4822m car-t cell
Diabetic complication 	insulin susp protamine zinc beef/pork
Non-small-cell lung cancer 	ganetespib
Type-1 diabetes 	kp-100
Ovarian cancer 	labeled fsh superagonist
Anal fissure 	isosorbide dinitrate
Angina pectoris 	isosorbide dinitrate
Vascular disease 	fp-1102
Obesity 	heterocyclic-substituted 3-alkyl azetidine derivative 2
Obesity 	diphenyl purine derivative 3
Osteoporosis 	salmon calcitonin
Metastatic cancer 	pyrazolopyridines and imidazopyridine derivative 1
Solid tumour/cancer 	pyrazolopyridines and imidazopyridine derivative 1
Solid tumour/cancer 	endg-4010
Human immunodeficiency virus infection 	etv-002
Atopic dermatitis 	tralokinumab
Ulcerative colitis 	tralokinumab
Asthma 	tralokinumab
Retinopathy 	sf-113
Non-hodgkin lymphoma 	tositumomab
Solid tumour/cancer 	site-specific gene targeting agents
Myelopathy 	dequalinium
Skin infection 	contezolid
Autoimmune diabetes 	tmx-30x
Obesity 	nlc-002
Smoking dependence 	pf-05402536
Advanced solid tumour 	abt-700
Human immunodeficiency virus infection 	r-1206
Solid tumour/cancer 	mk-7684
Hepatitis B virus infection 	pc-2000
Schizophrenia 	rmg-40083
Breast cancer 	rl-6a
Hypertension 	metoprolol
Crohn disease 	pmid26651364-compound-9f
Ulcerative colitis 	pmid26651364-compound-9f
Urinary tract infection 	pmid26651364-compound-9f
Immune System disease 	intragam p
Chronic pain 	pmid28270021-compound-wo2013161919example85-117
Neuropathic pain 	pmid28270021-compound-wo2013161919example85-117
Solid tumour/cancer 	pmid28270021-compound-wo2013161919example85-117
Thymic cancer 	pmid28270021-compound-wo2013161919example85-117
Pruritus 	pmid28270021-compound-wo2013161919example85-117
Schizophrenia 	belaperidone
Solid tumour/cancer 	cmet avimer polypeptides
Rheumatoid arthritis 	ono-4641
Gastric ulcer 	pmid26936077-compound-34
Metabolic disorder 	pmid26936077-compound-34
Type-2 diabetes 	pmid26936077-compound-34
Solid tumour/cancer 	medroxyprogesterone
Bacterial infection 	rmh-41
Depression 	isocarboxazid
Osteoarthritis 	choline magnesium trisalicylate
Mood disorder 	nd7001
Human immunodeficiency virus-1 infection 	gsk2838232
Hypertension 	levamlodipine
Obesity 	l-796568
Arteriosclerosis 	bibb-515
Acne vulgaris 	cd-2475/101
Attention deficit hyperactivity disorder 	krl-401
Solid tumour/cancer 	sdx-7400
Bacterial infection 	l-695256
Chikungunya virus infection 	live attenuated recombinant vaccine
Dengue fever 	tak-003
Atopic dermatitis 	kp-413
Hypertension 	alseroxylon
Anaemia 	peginesatide acetate
Albinism 	pmid26815044-compound-64
Ephelides 	pmid26815044-compound-64
Melasma 	pmid26815044-compound-64
Menkes disease 	pmid26815044-compound-64
Senile lentigines 	pmid26815044-compound-64
Diabetic complication 	insulin-aspart
Solid tumour/cancer 	ipi-549
Breast cancer 	ipi-549
Adrenocortical carcinoma 	ipi-549
Head and neck cancer 	ipi-549
Melanoma 	ipi-549
Mesothelioma 	ipi-549
Hypertension 	human-cl rhfviii
Fallopian tube cancer 	rebmab-100
Alzheimer disease 	esn-xx
Diabetic neuropathy 	hx-100
Solid tumour/cancer 	isis 18078
Solid tumour/cancer 	tak-733
Endometriosis 	pgl-2
Neurogenic orthostatic hypotension 	droxidopa
Solid tumour/cancer 	crl-37212
Influenza virus infection 	fluvax
Obesity 	gw-594884a
Respiratory disease 	mk-7246
